"edge_id","trip_group_id","produce","flow_value"
2513,9,"Sheepmeat",1257
2888,14,"Forestry",227601
2826,19,"Fruit",1230588
2780,5,"Beef",275924
1331,3,"Beef",2522
1552,17,"Fruit",47203758
3080,27,"Sheepmeat",552464
1494,16,"Forestry",38179738
3037,18,"Fruit",2096274
1553,9,"Sheepmeat",25710687
1249,2,"Beef",482230
2443,16,"Forestry",222643
3061,3,"Beef",41657974
2339,25,"Veges",1637936
2826,17,"Fruit",559234
3079,2,"Beef",627564
1927,28,"Sheepmeat",41394
3056,15,"Forestry",3165324
2968,4,"Beef",366108
1859,8,"Sheepmeat",365178
728,27,"Sheepmeat",5881
1897,14,"Forestry",277472
3099,28,"Sheepmeat",32163572
2245,9,"Sheepmeat",6647723
2212,15,"Forestry",111393
2272,27,"Sheepmeat",1533785
132,11,"Forestry",2199
2949,17,"Fruit",16757
1819,10,"Sheepmeat",214895
892,24,"Veges",893503
837,27,"Sheepmeat",157833
901,24,"Veges",17836
1850,2,"Beef",408510
1567,29,"Sheepmeat",28654
761,16,"Forestry",17987
2401,13,"Forestry",10033
1897,21,"Fruit",4323
2939,23,"Veges",6127042
2788,4,"Beef",4969260
123,9,"Sheepmeat",23253
2809,6,"Beef",8405
1075,20,"Fruit",35985
2586,4,"Beef",40355453
87,21,"Fruit",27229
2551,22,"Fruit",2660
3039,21,"Fruit",2138722
1660,2,"Beef",25048
3166,29,"Sheepmeat",359193358
3121,5,"Beef",178929
924,27,"Sheepmeat",1185
757,4,"Beef",28303
2009,10,"Sheepmeat",322788
1483,8,"Sheepmeat",1359
3085,16,"Forestry",916568
1813,13,"Forestry",3815
2493,15,"Forestry",218605
2807,7,"Beef",25193
934,5,"Beef",2952
755,2,"Beef",3412
2109,27,"Sheepmeat",3261391
2034,8,"Sheepmeat",13088135
2314,10,"Sheepmeat",89665
1832,14,"Forestry",12759
2931,24,"Veges",6083886
903,9,"Sheepmeat",41696
2887,9,"Sheepmeat",307930
1980,28,"Sheepmeat",859922
2997,28,"Sheepmeat",109282
2837,22,"Fruit",43319
2000,4,"Beef",1080922
2829,19,"Fruit",1232128
1691,15,"Forestry",270335
303,15,"Forestry",17286
66,24,"Veges",1896622
3043,9,"Sheepmeat",23214236
2348,9,"Sheepmeat",83302
2990,11,"Forestry",3285119
1666,3,"Beef",9355
2958,29,"Sheepmeat",23333202
1896,10,"Sheepmeat",138771
1846,8,"Sheepmeat",38890
1235,28,"Sheepmeat",44234
1578,6,"Beef",8405
2329,9,"Sheepmeat",25563
2654,9,"Sheepmeat",25589329
1829,10,"Sheepmeat",2532917
870,17,"Fruit",836541
52,4,"Beef",13238692
1005,2,"Beef",1448
2412,14,"Forestry",50533
1280,16,"Forestry",88853
2504,13,"Forestry",248343
2821,8,"Sheepmeat",19137102
989,22,"Fruit",41300
1499,10,"Sheepmeat",1908806
2593,21,"Fruit",229926
3166,16,"Forestry",34093733
958,4,"Beef",100087
2347,8,"Sheepmeat",363334
2117,4,"Beef",141073
1798,27,"Sheepmeat",944293
914,8,"Sheepmeat",7221
3157,29,"Sheepmeat",32413405
2922,7,"Beef",25193
419,29,"Sheepmeat",1052
530,19,"Fruit",210068
10,4,"Beef",128741
2429,24,"Veges",357254
2072,3,"Beef",30391
2930,12,"Forestry",2064659
1179,14,"Forestry",1129
1205,9,"Sheepmeat",5236510
3066,7,"Beef",25193
2240,28,"Sheepmeat",1630975
1585,13,"Forestry",248343
3154,4,"Beef",19828804
3027,21,"Fruit",203202
2305,10,"Sheepmeat",7721
2359,28,"Sheepmeat",1242306
1445,2,"Beef",38369
1768,29,"Sheepmeat",1141434
2963,11,"Forestry",879090
3140,1,"Dairy",294373
571,10,"Sheepmeat",4228
2822,11,"Forestry",2957793
1186,27,"Sheepmeat",1612321
1674,27,"Sheepmeat",34041
648,11,"Forestry",107798
938,23,"Veges",6387933
1088,25,"Veges",649537
2965,2,"Beef",2860819
1556,15,"Forestry",3157342
2884,6,"Beef",8405
1637,10,"Sheepmeat",191829
1493,16,"Forestry",54880
71,16,"Forestry",8878019
1946,3,"Beef",58696
1378,9,"Sheepmeat",1214212
2890,11,"Forestry",2943512
2339,24,"Veges",1637936
2783,15,"Forestry",481027
2050,11,"Forestry",65711
2539,28,"Sheepmeat",3369999
2016,8,"Sheepmeat",1916680
2425,12,"Forestry",5951260
2502,21,"Fruit",229926
2812,4,"Beef",19152370
2752,2,"Beef",3136260
2119,8,"Sheepmeat",5217520
2722,12,"Forestry",3361866
838,28,"Sheepmeat",34334528
918,16,"Forestry",171125319
2753,11,"Forestry",33151
1080,10,"Sheepmeat",3708146
970,4,"Beef",2667
1422,3,"Beef",21441
983,3,"Beef",2960
2402,8,"Sheepmeat",3447012
1518,12,"Forestry",4683
2323,10,"Sheepmeat",24596384
2510,18,"Fruit",17270271
2803,16,"Forestry",60380762
3054,27,"Sheepmeat",19039514
2755,4,"Beef",13414120
5,7,"Beef",15770
3018,26,"Veges",2670390
1165,10,"Sheepmeat",115135
303,17,"Fruit",17270271
2270,2,"Beef",135030
1842,14,"Forestry",1578
863,17,"Fruit",3243737
1497,13,"Forestry",2540
2654,4,"Beef",40355453
3133,28,"Sheepmeat",34496456
1185,3,"Beef",1693582
1897,20,"Fruit",2162
1459,26,"Veges",95229
1075,22,"Fruit",17982
2817,7,"Beef",25193
2095,10,"Sheepmeat",285469
2728,9,"Sheepmeat",503776
3128,3,"Beef",12438195
1674,11,"Forestry",258787
2950,27,"Sheepmeat",2492
3168,17,"Fruit",2579382
2648,11,"Forestry",7096
1235,4,"Beef",113606
3106,16,"Forestry",881532
235,28,"Sheepmeat",14741
2032,15,"Forestry",145946
333,24,"Veges",17936
1416,9,"Sheepmeat",2302
1063,4,"Beef",6082
1274,8,"Sheepmeat",27641
963,23,"Veges",3054796
917,25,"Veges",30740306
693,8,"Sheepmeat",1555
2019,9,"Sheepmeat",919896
926,8,"Sheepmeat",325842
936,23,"Veges",36898
1556,19,"Fruit",198985
1905,3,"Beef",5275
1851,7,"Beef",25193
2839,12,"Forestry",3175122
3006,12,"Forestry",7096
1869,9,"Sheepmeat",610993
3116,16,"Forestry",1935315
701,11,"Forestry",2199
2393,11,"Forestry",158920
2755,14,"Forestry",5317
2438,14,"Forestry",2333
1766,10,"Sheepmeat",143144
1056,8,"Sheepmeat",2671902
1424,2,"Beef",15745
2821,27,"Sheepmeat",24717795
2443,28,"Sheepmeat",7402381
2222,14,"Forestry",212214
1696,10,"Sheepmeat",1579736
2015,29,"Sheepmeat",6136951
2382,12,"Forestry",231626
1843,9,"Sheepmeat",579507
1972,11,"Forestry",31958
2338,8,"Sheepmeat",458525
2104,10,"Sheepmeat",2076716
2803,17,"Fruit",16757
3060,7,"Beef",836800
2909,29,"Sheepmeat",52713445
2925,19,"Fruit",38591
1141,16,"Forestry",61105
572,18,"Fruit",7999
1526,16,"Forestry",3260666
1116,9,"Sheepmeat",11289
2222,12,"Forestry",2477492
3135,23,"Veges",26257752
2141,29,"Sheepmeat",1331616
157,2,"Beef",25131
2264,19,"Fruit",3886981
2818,22,"Fruit",15484
2788,28,"Sheepmeat",4239893
859,20,"Fruit",509572
2020,8,"Sheepmeat",607469
1572,25,"Veges",12090250
2792,16,"Forestry",25578977
2930,1,"Dairy",294373
2133,2,"Beef",599856
3042,24,"Veges",22707978
2973,24,"Veges",366120
1687,10,"Sheepmeat",1847
1138,4,"Beef",3353239
305,8,"Sheepmeat",4113
3051,9,"Sheepmeat",13684005
2557,20,"Fruit",12334
3048,10,"Sheepmeat",8222591
2928,15,"Forestry",62681
1641,4,"Beef",64407
64,28,"Sheepmeat",20039640
3151,29,"Sheepmeat",99366009
1346,29,"Sheepmeat",12698
1844,27,"Sheepmeat",374646
1090,10,"Sheepmeat",65513
3061,15,"Forestry",1427254
2047,2,"Beef",1193
2690,23,"Veges",26257752
2498,13,"Forestry",5372
1500,29,"Sheepmeat",3535016
1208,13,"Forestry",54084
2442,11,"Forestry",152502
912,24,"Veges",17836
1685,28,"Sheepmeat",1220
2960,15,"Forestry",1786376
2762,4,"Beef",32441292
862,19,"Fruit",7685929
2211,2,"Beef",10101
1801,29,"Sheepmeat",163402
2504,7,"Beef",25193
1642,12,"Forestry",11963
1339,9,"Sheepmeat",106037
1907,3,"Beef",1345
918,13,"Forestry",279927
2338,15,"Forestry",7080
1269,3,"Beef",139623
1414,8,"Sheepmeat",3478
2979,24,"Veges",366120
1160,3,"Beef",25048
2128,3,"Beef",272571
2140,3,"Beef",188066
2859,8,"Sheepmeat",228333
1339,3,"Beef",27971
2503,27,"Sheepmeat",35854901
1965,15,"Forestry",35904
3102,8,"Sheepmeat",1494112
1551,4,"Beef",40650362
311,18,"Fruit",95602
2963,14,"Forestry",68513
187,27,"Sheepmeat",3923
1955,3,"Beef",688805
2935,12,"Forestry",14829
929,4,"Beef",1125217
2150,16,"Forestry",7955539
3113,14,"Forestry",192578
2119,10,"Sheepmeat",4847505
2429,28,"Sheepmeat",1626
2233,8,"Sheepmeat",603216
2966,6,"Beef",8405
2092,10,"Sheepmeat",673824
2335,9,"Sheepmeat",237425
2751,11,"Forestry",30430
506,2,"Beef",3501
2315,25,"Veges",286091
135,29,"Sheepmeat",495343
3083,28,"Sheepmeat",34332590
1380,4,"Beef",1559712
691,3,"Beef",113746
3153,13,"Forestry",202136
3166,25,"Veges",24294740
1163,16,"Forestry",342397
1301,28,"Sheepmeat",155778
1012,29,"Sheepmeat",274776
1488,9,"Sheepmeat",1420982
999,24,"Veges",6678793
2340,8,"Sheepmeat",47841
288,2,"Beef",54082
1591,7,"Beef",25193
2584,19,"Fruit",38023047
2858,9,"Sheepmeat",73593
2270,19,"Fruit",143781
2223,3,"Beef",3347545
2397,10,"Sheepmeat",48226
2314,4,"Beef",43420
2778,7,"Beef",836800
1698,8,"Sheepmeat",1465877
2247,16,"Forestry",15053
1439,9,"Sheepmeat",4292
2498,4,"Beef",1085228
1587,2,"Beef",13044366
1268,27,"Sheepmeat",43048
2932,4,"Beef",95825
2756,2,"Beef",4702707
2559,3,"Beef",560398
2521,6,"Beef",21666
2463,18,"Fruit",49780
2549,17,"Fruit",512911
855,4,"Beef",315682
2373,29,"Sheepmeat",6445799
917,24,"Veges",30740306
1416,2,"Beef",3202
3029,24,"Veges",31465611
1137,2,"Beef",282542
727,8,"Sheepmeat",4550
1945,24,"Veges",4184920
2137,9,"Sheepmeat",783128
2894,8,"Sheepmeat",45576
1251,27,"Sheepmeat",339423
434,9,"Sheepmeat",278560
1416,3,"Beef",3202
1861,2,"Beef",30704
1044,25,"Veges",27150
2896,29,"Sheepmeat",184427
2498,2,"Beef",340426
2865,28,"Sheepmeat",118420805
190,19,"Fruit",104122269
2520,25,"Veges",1879685
928,17,"Fruit",86108
3131,11,"Forestry",3175122
