"point_id","x","y"
49100,173.985098,-41.266971
49101,173.985056,-41.266822
49102,173.984972,-41.266684
49103,173.984933,-41.266538
49104,173.985057,-41.266424
49105,173.985221,-41.266335
49106,173.985347,-41.266217
49107,173.985426,-41.266077
49108,173.985473,-41.265928
49109,173.98552,-41.26578
49110,173.985606,-41.265644
49111,173.985779,-41.265571
49112,173.985975,-41.265593
49113,173.98614,-41.26568
49114,173.986302,-41.265771
49115,173.98649,-41.265813
49116,173.986645,-41.265728
49117,173.986718,-41.265586
49118,173.986831,-41.265464
49119,173.987024,-41.265426
49120,173.987226,-41.265412
49121,173.987427,-41.265422
49122,173.987606,-41.26549
49123,173.987753,-41.265594
49124,173.987843,-41.265729
49125,173.987862,-41.26588
49126,173.987843,-41.266032
49127,173.987821,-41.266183
49128,173.987805,-41.266335
49129,173.987822,-41.266487
49130,173.987879,-41.266633
49131,173.987965,-41.266771
49132,173.988084,-41.266894
49133,173.988251,-41.266971
49134,173.988441,-41.266924
49135,173.98863,-41.266871
49136,173.988813,-41.266807
49137,173.988932,-41.266686
49138,173.989014,-41.266546
49139,173.989094,-41.266406
49140,173.989218,-41.266289
49141,173.989411,-41.26626
49142,173.989591,-41.266325
49143,173.989752,-41.266417
49144,173.989914,-41.266509
49145,173.990077,-41.266599
49146,173.990228,-41.2667
49147,173.990408,-41.266761
49148,173.990596,-41.266716
49149,173.990655,-41.266576
49150,173.990648,-41.266424
49151,173.99069,-41.266276
49152,173.990847,-41.266198
49153,173.991018,-41.266269
49154,173.99115,-41.266385
49155,173.991277,-41.266504
49156,173.991403,-41.266623
49157,173.991535,-41.266738
49158,173.991711,-41.266796
49159,173.991871,-41.266715
49160,173.991916,-41.266568
49161,173.991937,-41.266417
49162,173.991974,-41.266267
49163,173.992072,-41.266135
49164,173.992195,-41.266015
49165,173.992256,-41.26587
49166,173.992298,-41.265721
49167,173.992354,-41.265575
49168,173.99251,-41.265462
49169,173.992767,-41.265566
49170,173.992976,-41.265733
49171,173.993178,-41.265904
49172,173.993288,-41.266117
49173,173.993505,-41.266247
49174,173.993752,-41.266133
49175,173.993883,-41.265926
49176,173.994082,-41.265756
49177,173.994347,-41.265646
49178,173.994642,-41.265678
49179,173.994878,-41.26582
49180,173.995077,-41.265993
49181,173.995225,-41.266193
49182,173.995338,-41.266406
49183,173.995455,-41.266618
49184,173.995599,-41.26682
49185,173.995817,-41.266972
49186,173.996094,-41.266919
49187,173.996314,-41.266761
49188,173.996581,-41.266651
49189,173.996851,-41.266545
49190,173.997144,-41.266488
49191,173.997447,-41.266487
49192,173.997723,-41.266569
49193,173.997765,-41.266783
49194,173.997563,-41.26695
49195,173.997354,-41.267116
49196,173.997221,-41.267321
49197,173.996982,-41.267457
49198,173.996787,-41.267629
49199,173.996694,-41.267844
49200,173.99646,-41.267986
49201,173.996309,-41.26818
49202,173.99629,-41.268408
49203,173.996135,-41.268604
49204,173.995905,-41.268742
49205,173.995601,-41.26875
49206,173.995349,-41.268866
49207,173.995275,-41.269083
49208,173.995304,-41.269311
49209,173.995313,-41.269538
49210,173.99505,-41.269632
49211,173.994775,-41.269722
49212,173.994681,-41.269932
49213,173.994591,-41.270146
49214,173.994466,-41.27035
49215,173.994433,-41.270568
49216,173.994206,-41.27072
49217,173.994188,-41.270938
49218,173.994291,-41.271153
49219,173.994189,-41.271353
49220,173.993932,-41.271475
49221,173.993673,-41.271596
49222,173.993585,-41.271791
49223,173.993738,-41.271989
49224,173.993852,-41.272196
49225,173.993665,-41.272358
49226,173.993392,-41.272459
49227,173.993119,-41.272561
49228,173.992952,-41.27274
49229,173.99307,-41.27294
49230,173.99331,-41.273081
49231,173.99353,-41.273235
49232,173.993484,-41.273427
49233,173.993184,-41.273404
49234,173.992904,-41.273475
49235,173.992674,-41.273626
49236,173.992522,-41.273808
49237,173.9927,-41.273987
49238,173.992863,-41.274177
49239,173.992892,-41.274401
49240,173.992662,-41.27454
49241,173.992375,-41.274615
49242,173.992073,-41.274601
49243,173.991879,-41.27475
49244,173.991893,-41.274977
