"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
31,"George St, Golden Centre","310",-45.8712786,170.5051336,"5900_1"
32,"Bus Hub Stop E","5004",-45.872205,170.506253,"5900_1"
33,"Mornington Rd, 118","1114",-45.8925083,170.4643939,"5900_2D"
34,"Mailer St, 2","512",-45.8818242,170.4822817,"5900_1/2C"
35,"Chapman St, 46","182",-45.8586031,170.4893719,"5900_2E"
36,"Mornington Rd Terminus","1117",-45.8953461,170.4630739,"5900_2D"
37,"Hospital South","1195",-45.869527,170.507985,"5900_1"
38,"Andersons Bay Rd, 271","22",-45.8909158,170.5023217,"5900_1/2A"
39,"Mornington Rd, 82","1113",-45.8912856,170.4662014,"5900_2D"
41,"Princes St, 151","769",-45.8767272,170.5022036,"5900_1"
42,"Glenpark Ave, 50","330",-45.8843786,170.4812239,"5900_2D"
43,"Highgate, 460","428",-45.8617994,170.4956925,"5900_2E"
44,"Mornington Terminus, Mailer St","513",-45.8817133,170.4827436,"5900_1/2C"
46,"Bus Hub Stop D","5003",-45.872441,170.506127,"5900_1"
47,"Bus Hub Stop I","5008",-45.873181,170.505902,"5900_1"
48,"Macandrew Rd, 154","499",-45.898405,170.4960908,"5900_2B"
49,"Forbury Rd, 232","280",-45.9108328,170.4898314,"5900_2B"
50,"Stuart St, under Highgate","948",-45.8664353,170.4898919,"5900_1/2D"
51,"Taieri Rd, 278","968",-45.8579914,170.4780372,"5900_2E"
52,"State Highway One, 28","1181",-45.876766,170.505079,"5900_1"
53,"Crawford St, 220","1180",-45.884971,170.499174,"5900_1"
54,"Prince Albert Rd, 110","758",-45.9042819,170.5075875,"5900_2B"
55,"Taieri Rd, 302","980",-45.8570906,170.4773153,"5900_2E"
56,"Halfway Bush Terminus","50",-45.8553828,170.4624803,"5900_2E"
57,"Portobello Rd, 431","731",-45.8733403,170.5858953,"5900_3A"
58,"Andersons Bay Rd, 482","26",-45.89572,170.5071039,"5900_2A"
59,"Braeburn St Playground","487",-45.8865206,170.5276639,"5900_2A"
60,"Harington Point Rd, 2 (Portobello)","756",-45.8395417,170.6514119,"5900_3A"
61,"Princes St, 265","773",-45.8781508,170.5015133,"5900_1"
62,"Forbury Rd 94","283",-45.9041558,170.4876178,"5900_2B"
63,"Rattray St, 145","793",-45.8773764,170.5010714,"5900_1"
64,"Elgin Rd, 16","1033",-45.8814247,170.47614,"5900_2D"
65,"Princes St, cnr Manor Pl","781",-45.8828361,170.4986264,"5900_1"
66,"George St, 286","306",-45.8702014,170.5058847,"5900_1"
67,"Mailer St, 48","1048",-45.8810211,170.47894,"5900_2D"
68,"Princes St, 575","779",-45.8829525,170.4988164,"5900_1"
69,"Mailer St, 58","514",-45.88092,170.4775233,"5900_2D"
70,"Kenmure Rd, cnr Mailer Street","466",-45.88039,170.4760192,"5900_2D"
71,"Union St East, outside College of Education","1183",-45.8672575,170.5200278,"5900_1"
72,"Harbour Tce, 58","364",-45.8662828,170.5196492,"5900_1"
73,"Eglinton Rd, opposite Peel St","250",-45.8823597,170.4846817,"5900_1/2C"
74,"SH88, Logan Park","849",-45.8681792,170.5238258,"5900_1"
75,"21 Arthur St, opposite Otago Boys","5010",-45.872273,170.49575,"5900_1"
76,"Andersons Bay Rd, Oval","18",-45.884885,170.4982739,"5900_1"
77,"Stanley St, 42","930",-45.8843625,170.4716458,"5900_2D"
78,"Castle St, 53","168",-45.8743,170.5085,"5900_1"
79,"High St, 249","388",-45.879315,170.4970269,"5900_1"
80,"Bank St, opposite 30","61",-45.8545786,170.5167175,"5900_1/2E"
